Skill_ID,Skill_Name,SkillType,Category,Subcategory
KS120626HMWCXJWJC7VK,Adaptability,Common Skill,Physical and Inherent Abilities,Personal Attributes
ES2F712D74818EF2888E,Administrative Support,Specialized Skill,Administration,Administrative Support and Clerical Tasks
KS120B877X78XJ03K8VX,Agile Leadership,Specialized Skill,Information Technology,Agile Software Development
KS120B96BV0RVFP988G4,Agile Management,Specialized Skill,Information Technology,Agile Software Development
KS120B874P2P6BK1MQ0T,Agile Methodology,Specialized Skill,Information Technology,Agile Software Development
ES2D2CA3BC2F2587FAAC,Agile Product Development,Specialized Skill,Business,Product Management
ES604F3CA3845047D040,Agile Product Management,Specialized Skill,Business,Product Management
ESFA9982A2A945E439CB,Analytical Skills,Common Skill,Physical and Inherent Abilities,Critical Thinking and Problem Solving
BGS254D2D0A9C35F55B5,Bank Compliance,Specialized Skill,Finance,Financial Regulation
KS120WT63K4HC6NX7QXV,Banking,Specialized Skill,Finance,General Finance
KS1218B5WWXNDNQTN9MP,Business Acumen,Common Skill,Physical and Inherent Abilities,Personal Attributes
KS1218B62M9QRBY8WRSK,Business Administration,Common Skill,Business,Business Operations
ESED90D9CF0E0C9F8D28,Business Advisory,Specialized Skill,Business,Business Strategy
KSG96S4BWNMTWBMXZ71N,Business Alignment,Specialized Skill,Business,Business Strategy
KS1218C69LM6XYNXWKC1,Business Alliance,Specialized Skill,Business,Business Strategy
KS1218C6C8TX2Y1KRN37,Business Analysis,Specialized Skill,Business,Business Analysis
KS1218P66BGK5X5JGKLF,Business Ethics,Common Skill,Business,Business Management
KS1218Q6PZLSBQJZ6QQD,Business Etiquette,Common Skill,Physical and Inherent Abilities,Social Skills
KS1219462WRQNHNTPZ7G,Business Partnering,Specialized Skill,Business,Business Strategy
KSVV7L26JZNZ4SX5QH95,Business Risk Management,Specialized Skill,Business,Risk Management
KS440ZZ6HJGY92HPTWCV,Business Strategies,Specialized Skill,Business,Business Strategy
KS121CM5ZYF7WMBS5BS4,Capability Development,Specialized Skill,Human Resources,Employee Training
KS121T569X502KJPS0F3,Change Management,Specialized Skill,Business,Business Management
KS121J06HRH9BLX7WN4L,Collaboration Data Objects For Windows NT Servers,Specialized Skill,NULL,NULL
KS122556LMQ829GZCCRV,Communication,Common Skill,Media and Communications,Communication
KS12258757JQRQK8X5M9,Communication Planning,Specialized Skill,Media and Communications,Communication
BGSA09D67D5649D8559E,Compliance Management,Specialized Skill,"Law, Regulation, and Compliance",Regulation and Legal Compliance
ES7C0F9A9312F961F49F,Compliance Risk Management,Specialized Skill,Business,Risk Management
KS1228S6XKXWJ8SR7JYX,Conflict Management,Specialized Skill,Business,People Management
KS1228S6YKWXMH4M4DL7,Conflict Resolution,Specialized Skill,"Law, Regulation, and Compliance",Litigation and Civil Justice
ES886154C56DD7EB0AFF,Constructive Feedback,Common Skill,Business,People Management
KS122B06FRJSHG3ZF56F,Consultative Selling,Specialized Skill,Sales,General Sales Practices
KS122C06Z8NDM5G6NYNT,Continuous Improvement Process,Specialized Skill,Business,Business Analysis
ES1F5A6344D37AF2F01B,Corporate Strategy,Specialized Skill,Business,Business Strategy
KS122LM693MC8BM7T1PM,Customer Advocacy,Specialized Skill,Customer and Client Support,Client Support
ES439D5D4E1DA572EFB8,Customer Centricity,Specialized Skill,Analysis,Business Intelligence
KS122LP5Z969YKTZ5R6C,Customer Communications Management,Specialized Skill,Media and Communications,Communication
KSDMUMHE63DLB9OKKW37,Customer Complaint Resolution,Specialized Skill,Customer and Client Support,Customer Service
ES2293CD01E12A395E9F,Customer Development,Specialized Skill,Business,Business Strategy
KS122B568MKWX1K9STGP,Customer Engagement,Specialized Skill,Customer and Client Support,Customer Service
ESB8890D0DE54840C465,Customer Engagement Strategy,Specialized Skill,Marketing and Public Relations,Marketing Strategy and Techniques
KS122LQ78XTWK60SXCXK,Customer Equity,Specialized Skill,Sales,Account Management
BGS1E4A87797AB89913D,Customer Experience Improvement,Specialized Skill,Customer and Client Support,Customer Service
ES4C049EE2BE3978642B,Customer Experience Strategy (CX),Specialized Skill,Customer and Client Support,Customer Service
ESA1C87C5D8FB7E7A1D3,Customer Information Systems,Specialized Skill,Business,Customer Relationship Management (CRM)
ES96EA50918BAFBA3EE8,Customer Journey Mapping,Specialized Skill,Marketing and Public Relations,Market Analysis
KS122LY6TT54ND7Z1YZP,Customer Profitability,Specialized Skill,Analysis,Business Intelligence
KS122LZ65M6D6TNYLP9Q,Customer Relationship Building,Specialized Skill,Business,Customer Relationship Management (CRM)
KS1217P66NK6BW72M9FH,Customer Relationship Management,Specialized Skill,Business,Customer Relationship Management (CRM)
KS122LZ73LBCYNVBL9N7,Customer Retention,Specialized Skill,Sales,Account Management
KS121Z26S4VJLQ1WXN21,Customer Service,Common Skill,Customer and Client Support,Customer Service
