JobID,Skill_ID
R0001,BGSCB1963DE7E198035
R0001,BGSD0AFA883C40835A6
R0001,BGS6CB1C0C4002A7004
R0001,BGS7D722A1742BD11A4
R0002,BGS57BED764EE5B4879
R0002,BGS230B11BAAB98F084
R0002,BGS1A0DAA7A37987958
R0002,BGS4E6B5E7AC269DAD3
R0002,BGS4AAC391323D703D8
R0003,BGSA7C4948E9CF56DBE
R0003,BGS95E546E448807C44
R0003,BGS9235C071B9F01CB6
R0003,BGS1D3C38B5D301E07A
R0003,BGS07DA2FB7A1F93EE7
R0004,BGSF0C37FA0CF6FF9B5
R0004,BGSE8B4E98A3A09371A
R0004,BGS5F0B9E9487104533
R0004,BGSD39206FCD04D9365
R0005,BGSCBE4ADF6BCAED8D3
R0005,BGS6FC416EEB8887322
R0005,BGSC41285555C5161E5
R0005,BGS34C2AA829744E80E
R0005,BGSD5B0F20FA1746065
R0006,BGSF1A0D37296F5C1CD
R0006,BGS186EBF44EB977EA4
R0006,BGS01A9339CA8381E5B
R0006,BGS4C0205F59786FB38
R0007,BGSDB151B22E2708049
R0007,BGS59631BB387A15692
R0007,BGS09F64E477DE6F729
R0007,BGSC497B2882F6DA7B3
R0008,BGS8B7132EE577DCEE4
R0008,BGS85C38FC5B202508E
R0009,BGSD541183A9E67EFFF
R0009,BGSECD83CC734AB0397
R0009,BGS4AD7640013CF9AE2
R0009,BGSDA9CDC4128048937
R0009,BGS131977C2E0DA5C65
R0010,BGS976D1FAE713E54C9
R0010,BGS4C7F123B34B1AC1D
R0010,BGSD919F1BEF51CF3F7
R0010,BGSCB586C6A12314C0B
R0011,BGS49A706C4CA8B1378
R0011,BGS6241E4FC6CB2DD84
R0011,BGSCAAEB0B43BF27CC9
R0011,BGS7EEDCE0E32DEE1B5
R0011,BGS150F98FCEC8DAC29
R0012,BGS9077C772D38B1A6F
R0012,BGSB78D698586A04B58
R0012,BGS1BC67E662B38A1E7
R0012,BGSC001776F8089BEC2
R0013,BGS49440D89993449E5
