JobID,RoleSet,Org Unit Number,Org Unit Name,Salary Group,People Leader Flag,Street,Suburb,Location,Cty
R0001,Role 1,55000195,55000078 Research (Manager 1),Group 3,Non-People Leader,438 King St,Wellington,UK,AU
R0002,Role 2,55000019,55000199 Customer Service (Manager 2),Group 7,People Leader,227 King St,Auckland,AU,AU
R0003,Role 3,55000144,55000161 Risk (Manager 3),Group 2,Non-People Leader,306 King St,Canberra,SG,AU
R0004,Role 4,55000004,55000017 Facilities (Manager 4),Group 5,Non-People Leader,333 Queen St,Edinburgh,UK,UK
R0005,Role 5,55000128,55000185 Communications (Manager 5),Group 3,Non-People Leader,277 Main St,Perth,UK,SG
R0006,Role 6,55000164,55000163 Finance (Manager 6),Group 4,Non-People Leader,248 Queen St,Canberra,AU,SG
R0007,Role 7,55000186,55000164 Sales (Manager 7),Group 4,Non-People Leader,53 King St,Wellington,NZ,NZ
R0008,Role 8,55000115,55000081 Sales (Manager 8),Group 2,People Leader,682 Main St,Melbourne,SG,NZ
R0009,Role 9,55000188,55000089 Communications (Manager 9),Group 2,Non-People Leader,426 King St,Singapore,SG,IN
R0010,Role 10,55000170,55000138 Legal (Manager 10),Group 3,Non-People Leader,507 Queen St,Canberra,AU,UK
R0011,Role 11,55000098,55000108 Strategy (Manager 11),Group 5,Non-People Leader,60 Main St,Bangalore,NZ,UK
R0012,Role 12,55000068,55000159 Risk (Manager 12),Group 5,Non-People Leader,459 High St,Hyderabad,IN,UK
R0013,Role 13,55000180,55000123 Facilities (Manager 13),Group 2,Non-People Leader,569 King St,Manchester,SG,AU
R0014,Role 14,55000155,55000024 Finance (Manager 14),Group 6,Non-People Leader,513 High St,Perth,AU,IN
R0015,Role 15,55000152,55000142 Legal (Manager 15),Group 6,Non-People Leader,960 High St,Birmingham,NZ,NZ
R0016,Role 16,55000024,55000107 Strategy (Manager 16),Group 4,Non-People Leader,583 Main St,Chennai,SG,UK
R0017,Role 17,55000011,55000078 Strategy (Manager 17),Group 7,Non-People Leader,167 Queen St,Sydney,UK,UK
R0018,Role 18,55000096,55000018 Communications (Manager 18),Group 6,Non-People Leader,785 Queen St,Singapore,AU,AU
