job1_id,job2_id,similarity,job1_title,job2_title,job1_department,job2_department,is_same_department
R0207_55032673,R0207_55032672,1.0000000000000004,People Systems,People Systems,People Systems 2,People Systems 1,False
R0207_55036375,R0207_55032672,1.0000000000000004,People Systems,People Systems,Business Transformation,People Systems 1,False
R0207_55032672,R0207_55036375,1.0000000000000004,People Systems,People Systems,People Systems 1,Business Transformation,False
R0207_55036375,R0207_55032673,1.0000000000000004,People Systems,People Systems,Business Transformation,People Systems 2,False
R0207_55032673,R0207_55036375,1.0000000000000004,People Systems,People Systems,People Systems 2,Business Transformation,False
R0207_55032672,R0207_55032673,1.0000000000000004,People Systems,People Systems,People Systems 1,People Systems 2,False
R0377_55026719,R0377_55044100,1.0000000000000002,People Operations,People Operations,"Technology, Technology Platforms",RPWR Portfolio Execution,False
R0377_55033035,R0377_55036004,1.0000000000000002,People Operations,People Operations,GPO Process Design & Control,Colleague Services 1,False
R0377_55036004,R0377_55033035,1.0000000000000002,People Operations,People Operations,Colleague Services 1,GPO Process Design & Control,False
R0377_55044076,R0377_55036004,1.0000000000000002,People Operations,People Operations,IPP - Data Reporting and Governance,Colleague Services 1,False
R0377_55042881,R0377_55036004,1.0000000000000002,People Operations,People Operations,Executive Reward Services 4,Colleague Services 1,False
R0377_55036004,R0377_55042881,1.0000000000000002,People Operations,People Operations,Colleague Services 1,Executive Reward Services 4,False
R0377_55034860,R0377_55036004,1.0000000000000002,People Operations,People Operations,Executive Reward Services 2,Colleague Services 1,False
R0377_55036004,R0377_55034860,1.0000000000000002,People Operations,People Operations,Colleague Services 1,Executive Reward Services 2,False
R0377_55032655,R0377_55036004,1.0000000000000002,People Operations,People Operations,Executive Reward Services 1,Colleague Services 1,False
R0377_55036004,R0377_55032655,1.0000000000000002,People Operations,People Operations,Colleague Services 1,Executive Reward Services 1,False
R0377_55036004,R0377_55044076,1.0000000000000002,People Operations,People Operations,Colleague Services 1,IPP - Data Reporting and Governance,False
R0377_55036004,R0377_55036698,1.0000000000000002,People Operations,People Operations,Colleague Services 1,Org Change Execution,False
R0377_55036004,R0377_55043375,1.0000000000000002,People Operations,People Operations,Colleague Services 1,Commercial Operations,False
R0377_55041025,R0377_55036004,1.0000000000000002,People Operations,People Operations,People Reporting,Colleague Services 1,False
R0377_55026719,R0377_55036004,1.0000000000000002,People Operations,People Operations,"Technology, Technology Platforms",Colleague Services 1,False
R0377_55036004,R0377_55026719,1.0000000000000002,People Operations,People Operations,Colleague Services 1,"Technology, Technology Platforms",False
R0377_55044100,R0377_55036004,1.0000000000000002,People Operations,People Operations,RPWR Portfolio Execution,Colleague Services 1,False
R0377_55036004,R0377_55044100,1.0000000000000002,People Operations,People Operations,Colleague Services 1,RPWR Portfolio Execution,False
R0377_55039651,R0377_55036004,1.0000000000000002,People Operations,People Operations,PMO Lead,Colleague Services 1,False
R0377_55036004,R0377_55039651,1.0000000000000002,People Operations,People Operations,Colleague Services 1,PMO Lead,False
R0377_55036004,R0377_55041025,1.0000000000000002,People Operations,People Operations,Colleague Services 1,People Reporting,False
R0377_55036698,R0377_55036004,1.0000000000000002,People Operations,People Operations,Org Change Execution,Colleague Services 1,False
R0377_55041814,R0377_55036004,1.0000000000000002,People Operations,People Operations,People Operations,Colleague Services 1,False
R0377_55036004,R0377_55041814,1.0000000000000002,People Operations,People Operations,Colleague Services 1,People Operations,False
R0377_55038331,R0377_55036004,1.0000000000000002,People Operations,People Operations,People & Culture ubank,Colleague Services 1,False
R0377_55036004,R0377_55038331,1.0000000000000002,People Operations,People Operations,Colleague Services 1,People & Culture ubank,False
R0377_55032664,R0377_55036004,1.0000000000000002,People Operations,People Operations,Payroll Services,Colleague Services 1,False
R0377_55036004,R0377_55032664,1.0000000000000002,People Operations,People Operations,Colleague Services 1,Payroll Services,False
R0377_55043375,R0377_55036004,1.0000000000000002,People Operations,People Operations,Commercial Operations,Colleague Services 1,False
R0377_55036004,R0377_55036008,1.0000000000000002,People Operations,People Operations,Colleague Services 1,Colleague Services 5,False
R0377_55036009,R0377_55036004,1.0000000000000002,People Operations,People Operations,Colleague Services 6,Colleague Services 1,False
R0377_55036003,R0377_55041025,1.0000000000000002,People Operations,People Operations,Colleague Services,People Reporting,False
R0377_55036003,R0377_55033035,1.0000000000000002,People Operations,People Operations,Colleague Services,GPO Process Design & Control,False
R0377_55033035,R0377_55036003,1.0000000000000002,People Operations,People Operations,GPO Process Design & Control,Colleague Services,False
R0377_55036003,R0377_55044076,1.0000000000000002,People Operations,People Operations,Colleague Services,IPP - Data Reporting and Governance,False
R0377_55044076,R0377_55036003,1.0000000000000002,People Operations,People Operations,IPP - Data Reporting and Governance,Colleague Services,False
R0377_55036003,R0377_55036698,1.0000000000000002,People Operations,People Operations,Colleague Services,Org Change Execution,False
R0377_55036698,R0377_55036003,1.0000000000000002,People Operations,People Operations,Org Change Execution,Colleague Services,False
R0377_55036003,R0377_55032664,1.0000000000000002,People Operations,People Operations,Colleague Services,Payroll Services,False
R0377_55032664,R0377_55036003,1.0000000000000002,People Operations,People Operations,Payroll Services,Colleague Services,False
R0377_55036003,R0377_55038331,1.0000000000000002,People Operations,People Operations,Colleague Services,People & Culture ubank,False
R0377_55038331,R0377_55036003,1.0000000000000002,People Operations,People Operations,People & Culture ubank,Colleague Services,False
R0377_55036003,R0377_55041814,1.0000000000000002,People Operations,People Operations,Colleague Services,People Operations,False
R0377_55041814,R0377_55036003,1.0000000000000002,People Operations,People Operations,People Operations,Colleague Services,False
R0377_55041025,R0377_55036003,1.0000000000000002,People Operations,People Operations,People Reporting,Colleague Services,False
R0377_55036004,R0377_55036009,1.0000000000000002,People Operations,People Operations,Colleague Services 1,Colleague Services 6,False
R0377_55036003,R0377_55039651,1.0000000000000002,People Operations,People Operations,Colleague Services,PMO Lead,False
R0377_55039651,R0377_55036003,1.0000000000000002,People Operations,People Operations,PMO Lead,Colleague Services,False
R0377_55036003,R0377_55044100,1.0000000000000002,People Operations,People Operations,Colleague Services,RPWR Portfolio Execution,False
R0377_55044100,R0377_55036003,1.0000000000000002,People Operations,People Operations,RPWR Portfolio Execution,Colleague Services,False
R0377_55036003,R0377_55026719,1.0000000000000002,People Operations,People Operations,Colleague Services,"Technology, Technology Platforms",False
R0377_55026719,R0377_55036003,1.0000000000000002,People Operations,People Operations,"Technology, Technology Platforms",Colleague Services,False
R0377_55036004,R0377_55036006,1.0000000000000002,People Operations,People Operations,Colleague Services 1,Colleague Services 3,False
R0377_55036006,R0377_55036004,1.0000000000000002,People Operations,People Operations,Colleague Services 3,Colleague Services 1,False
R0377_55036004,R0377_55036007,1.0000000000000002,People Operations,People Operations,Colleague Services 1,Colleague Services 4,False
R0377_55036007,R0377_55036004,1.0000000000000002,People Operations,People Operations,Colleague Services 4,Colleague Services 1,False
R0377_55036007,R0377_55036006,1.0000000000000002,People Operations,People Operations,Colleague Services 4,Colleague Services 3,False
R0377_55036008,R0377_55036004,1.0000000000000002,People Operations,People Operations,Colleague Services 5,Colleague Services 1,False
R0377_55036006,R0377_55036007,1.0000000000000002,People Operations,People Operations,Colleague Services 3,Colleague Services 4,False
R0377_55036009,R0377_55036006,1.0000000000000002,People Operations,People Operations,Colleague Services 6,Colleague Services 3,False
R0377_55036006,R0377_55036008,1.0000000000000002,People Operations,People Operations,Colleague Services 3,Colleague Services 5,False
R0377_55036007,R0377_55033035,1.0000000000000002,People Operations,People Operations,Colleague Services 4,GPO Process Design & Control,False
R0377_55036007,R0377_55036008,1.0000000000000002,People Operations,People Operations,Colleague Services 4,Colleague Services 5,False
R0377_55036008,R0377_55036007,1.0000000000000002,People Operations,People Operations,Colleague Services 5,Colleague Services 4,False
R0377_55036007,R0377_55036009,1.0000000000000002,People Operations,People Operations,Colleague Services 4,Colleague Services 6,False
R0377_55036009,R0377_55036007,1.0000000000000002,People Operations,People Operations,Colleague Services 6,Colleague Services 4,False
R0377_55036007,R0377_55043375,1.0000000000000002,People Operations,People Operations,Colleague Services 4,Commercial Operations,False
R0377_55043375,R0377_55036007,1.0000000000000002,People Operations,People Operations,Commercial Operations,Colleague Services 4,False
R0377_55036007,R0377_55032655,1.0000000000000002,People Operations,People Operations,Colleague Services 4,Executive Reward Services 1,False
R0377_55032655,R0377_55036007,1.0000000000000002,People Operations,People Operations,Executive Reward Services 1,Colleague Services 4,False
R0377_55036007,R0377_55034860,1.0000000000000002,People Operations,People Operations,Colleague Services 4,Executive Reward Services 2,False
R0377_55034860,R0377_55036007,1.0000000000000002,People Operations,People Operations,Executive Reward Services 2,Colleague Services 4,False
R0377_55036007,R0377_55042881,1.0000000000000002,People Operations,People Operations,Colleague Services 4,Executive Reward Services 4,False
R0377_55042881,R0377_55036007,1.0000000000000002,People Operations,People Operations,Executive Reward Services 4,Colleague Services 4,False
R0377_55033035,R0377_55036007,1.0000000000000002,People Operations,People Operations,GPO Process Design & Control,Colleague Services 4,False
R0377_55036006,R0377_55026719,1.0000000000000002,People Operations,People Operations,Colleague Services 3,"Technology, Technology Platforms",False
R0377_55036007,R0377_55044076,1.0000000000000002,People Operations,People Operations,Colleague Services 4,IPP - Data Reporting and Governance,False
R0377_55044076,R0377_55036007,1.0000000000000002,People Operations,People Operations,IPP - Data Reporting and Governance,Colleague Services 4,False
R0377_55036007,R0377_55036698,1.0000000000000002,People Operations,People Operations,Colleague Services 4,Org Change Execution,False
R0377_55036698,R0377_55036007,1.0000000000000002,People Operations,People Operations,Org Change Execution,Colleague Services 4,False
R0377_55036007,R0377_55032664,1.0000000000000002,People Operations,People Operations,Colleague Services 4,Payroll Services,False
