job_from,job_to,similarity
R0002_55043311,R0002_55036002,0.925
R0002_55043311,R0002_55015378,0.925
R0002_55043311,R0002_55032731,1.0
R0002_55043311,R0002_55025944,0.9
R0002_55043311,R0002_55024341,0.9
R0002_55043311,R0002_55041509,0.9
R0002_55043311,R0002_55036059,0.925
R0002_55043311,R0002_55037787,0.925
R0002_55043311,R0002_55039851,1.0
R0002_55043311,R0002_55032782,0.925
R0002_55043311,R0002_55036171,0.9
R0002_55043311,R0002_55035505,0.9
R0002_55043311,R0002_55011002,0.925
R0002_55043311,R0002_55031467,0.9
R0002_55043311,R0002_55028991,0.925
R0002_55043311,R0002_55027831,0.9
R0002_55043311,R0002_55038839,0.9
R0002_55043311,R0002_55019960,0.925
R0002_55043311,R0002_55033035,0.925
R0002_55043311,R0002_55006197,0.925
R0002_55043311,R0002_55036505,1.0
R0002_55043311,R0002_55044076,0.925
R0002_55043311,R0002_55036050,1.0
R0002_55043311,R0002_55037530,0.9
R0002_55043311,R0002_55040793,0.925
R0002_55043311,R0002_55043136,0.925
R0002_55043311,R0002_55014421,0.925
R0002_55043311,R0002_55003518,1.0
R0002_55043311,R0002_55027319,1.0
R0002_55043311,R0002_55035727,0.925
R0002_55043311,R0002_55032858,0.925
R0002_55043311,R0002_55029026,0.875
R0002_55043311,R0002_55039889,0.925
R0002_55043311,R0002_55041025,0.925
R0002_55043311,R0002_55041833,0.925
R0002_55043311,R0002_55031084,0.925
R0002_55043311,R0002_55030125,0.925
R0002_55043311,R0002_55011220,1.0
R0002_55043311,R0002_55043779,0.925
R0002_55043311,R0002_55026664,0.925
R0002_55043311,R0002_55037878,1.0
R0002_55043311,R0002_55043901,0.9
R0002_55043311,R0002_55037718,0.925
R0002_55043311,R0002_55042075,0.9
R0002_55043311,R0002_55031358,0.925
R0002_55043311,R0002_55025080,1.0
R0002_55043311,R0002_55037283,0.925
R0002_55043311,R0002_55019387,0.875
R0002_55043311,R0043_55035478,0.7520408163265306
R0002_55043311,R0043_55032756,0.6770408163265306
R0002_55043311,R0043_55039677,0.7770408163265305
R0002_55043311,R0043_55039678,0.7770408163265305
R0002_55043311,R0043_55029067,0.7770408163265305
R0002_55043311,R0043_55036252,0.7770408163265305
R0002_55043311,R0043_55034675,0.7770408163265305
R0002_55043311,R0043_55031083,0.7770408163265305
R0002_55043311,R0043_55036209,0.7770408163265305
R0002_55043311,R0043_55035181,0.7770408163265305
R0002_55043311,R0043_55032758,0.7270408163265306
R0002_55043311,R0043_55039681,0.7770408163265305
R0002_55043311,R0043_55039682,0.7770408163265305
R0002_55043311,R0043_55039683,0.7770408163265305
R0002_55043311,R0043_55039684,0.7770408163265305
R0002_55043311,R0043_55032632,0.7520408163265306
R0002_55043311,R0043_55021537,0.7520408163265306
R0002_55043311,R0043_55041926,0.6770408163265306
R0002_55043311,R0043_55029012,0.7770408163265305
R0002_55043311,R0043_55034882,0.7770408163265305
R0002_55043311,R0043_55039679,0.7770408163265305
R0002_55043311,R0043_55032862,0.7770408163265305
R0002_55043311,R0043_55032759,0.7770408163265305
R0002_55043311,R0043_55037980,0.7770408163265305
R0002_55043311,R0043_55037979,0.7770408163265305
R0002_55043311,R0043_55027552,0.7770408163265305
R0002_55043311,R0043_55034879,0.7770408163265305
R0002_55043311,R0043_55032908,0.7770408163265305
R0002_55043311,R0043_55039686,0.6770408163265306
R0002_55043311,R0043_55032863,0.7770408163265305
R0002_55043311,R0043_55009127,0.6770408163265306
R0002_55043311,R0043_55036250,0.7770408163265305
R0002_55043311,R0043_55034880,0.7270408163265306
R0002_55043311,R0043_55032860,0.7770408163265305
R0002_55043311,R0043_55029506,0.7520408163265306
R0002_55043311,R0043_55031288,0.7270408163265306
R0002_55043311,R0043_55036124,0.7770408163265305
R0002_55043311,R0043_55039830,0.7770408163265305
R0002_55043311,R0043_55034325,0.7270408163265306
R0002_55043311,R0043_55039829,0.7770408163265305
R0002_55043311,R0043_55031080,0.8520408163265306
R0002_55043311,R0043_55031077,0.7770408163265305
R0002_55043311,R0043_55017366,0.7520408163265306
R0002_55043311,R0043_55034335,0.7770408163265305
R0002_55043311,R0043_55031005,0.6770408163265306
R0002_55043311,R0055_55007584,0.6974489795918367
R0002_55043311,R0055_55007583,0.7474489795918366
R0002_55043311,R0204_55005925,0.8076530612244898
R0002_55043311,R0204_55032685,0.7826530612244897
R0002_55043311,R0204_55035156,0.7576530612244898
R0002_55043311,R0204_55022352,0.7826530612244897
R0002_55043311,R0204_55004131,0.8076530612244898
R0002_55043311,R0207_55036375,0.7923469387755102
R0002_55043311,R0207_55032672,0.7673469387755102
R0002_55043311,R0207_55032673,0.7673469387755102
R0002_55043311,R0290_55038074,0.6923469387755101
R0002_55043311,R0290_55041439,0.7673469387755102
R0002_55043311,R0290_55041442,0.7673469387755102
R0002_55043311,R0290_55041438,0.7673469387755102
R0002_55043311,R0290_55041440,0.7673469387755102
R0002_55043311,R0290_55041441,0.7673469387755102
R0002_55043311,R0290_55030423,0.7673469387755102
R0002_55043311,R0290_55039755,0.7673469387755102
