Skill_ID,Skill_Name,SkillType,Category,Subcategory
BGS4F7E528ED298B7F5,Skill 1,Specialized Skill,Communication,Policy Management
BGSE8F010A733C15AAC,Skill 2,Common Skill,Technology,Service Delivery
BGSDF0E9F82B3C0F702,Skill 3,Specialized Skill,Data Analysis,Stakeholder Management
BGS05DEF190FA0B4189,Skill 4,Common Skill,Project Management,Regulatory Compliance
BGSA425B6CE825E263D,Skill 5,Certification,Data Analysis,Data Engineering
BGS9BAA8269F55931B2,Skill 6,Specialized Skill,Technology,Written Communication
BGSBC0309688D269D7D,Skill 7,Certification,Customer Service,Operational Risk
BGS61A6C5E1BBF7A755,Skill 8,Common Skill,Customer Service,Regulatory Compliance
BGSF9E21967EF7D5DEA,Skill 9,Common Skill,Risk Management,Compliance Risk
BGS21C8DBB8AD12E1AC,Skill 10,Common Skill,Leadership,Compliance Risk
BGS6A24E882D07226F0,Skill 11,Specialized Skill,Project Management,Agile
BGSA4C365D1091FC4B3,Skill 12,Specialized Skill,Communication,Market Risk
BGSFD48F35DAF0FAAE4,Skill 13,Specialized Skill,Customer Service,Infrastructure
BGSB3D44A824FCC47A4,Skill 14,Specialized Skill,Project Management,Written Communication
BGS1E18D6F59634C4A2,Skill 15,Certification,Communication,Presentation
BGS16C18627C1A7129A,Skill 16,Common Skill,Communication,Agile
BGSB18A7F0AE5EFC462,Skill 17,Specialized Skill,Risk Management,Innovation
BGSFE5E3AA403996702,Skill 18,Common Skill,Problem Solving,Decision Making
BGS1B7287EF60CA2DB8,Skill 19,Common Skill,Finance,Policy Management
BGS5BC5B783C5D1AD91,Skill 20,Specialized Skill,Communication,Reporting
BGSF831C39F1FDDE4E1,Skill 21,Certification,Data Analysis,Client Support
BGS6B22A19A2C1A5F8D,Skill 22,Certification,Risk Management,Resource Planning
BGS6B8761A301170F9B,Skill 23,Certification,Customer Service,Account Management
BGSCCE0CC10E79F05B0,Skill 24,Common Skill,Finance,Change Management
BGS20DB0ADB2E0B0AE1,Skill 25,Specialized Skill,Compliance,Waterfall
BGSE8FFC16A555DD326,Skill 26,Certification,Data Analysis,Stakeholder Management
BGS69899FDCBA3D0A3B,Skill 27,Common Skill,Compliance,Agile
BGS3DCB9DF977F646AA,Skill 28,Certification,Compliance,Policy Management
BGSF8F6B4193CE89CF9,Skill 29,Certification,Technology,Compliance Risk
BGS4D5D5F12E01D04DD,Skill 30,Certification,Project Management,Risk Assessment
BGS54A5D571E4A429DF,Skill 31,Specialized Skill,Finance,Regulatory Compliance
BGSA299339B9A1216DC,Skill 32,Certification,Problem Solving,Regulatory Compliance
BGSFB11A2E604BC8863,Skill 33,Specialized Skill,Compliance,Market Risk
BGSFB9BA98AB4BEB867,Skill 34,Certification,Leadership,Presentation
BGSCD53F202D2C3C170,Skill 35,Specialized Skill,Technology,Financial Analysis
BGS42B03569BCBE390C,Skill 36,Certification,Problem Solving,Market Risk
BGSBEAAEC7D7EDCDE8D,Skill 37,Specialized Skill,Compliance,Resource Planning
BGSE161EA438EC0E17B,Skill 38,Certification,Risk Management,Critical Thinking
BGS868BDF8199948EE5,Skill 39,Certification,Compliance,Service Delivery
