job_id,title,department,level,skills
J00001,Junior QA Engineer,Technology,Entry,"S00038:2,S00048:2,S00020:2,S00009:2,S00043:2,S00004:1"
J00002,Loan Officer,Retail Banking,Associate,"S00098:2,S00035:2,S00023:2,S00078:2"
J00003,Analytics Associate,Analytics,Associate,"S00087:2,S00056:2,S00023:3,S00089:3,S00070:2"
J00004,Senior Operations Analyst,Operations,Mid-level,"S00042:3,S00056:3,S00061:3,S00091:4,S00023:2,S00006:3"
J00005,Security Engineer Lead,Technology,Lead,"S00062:4,S00080:4,S00020:4,S00013:5,S00001:5,S00090:4,S00074:3,S00018:3,S00033:3,S00043:4,S00028:4"
J00006,Junior Legal Analyst,Legal,Entry,"S00042:2,S00004:2,S00006:2,S00049:1"
J00007,Operations Specialist,Operations,Associate,"S00097:2,S00004:2,S00023:2,S00040:2,S00080:2"
J00008,Junior Network Engineer,Technology,Entry,"S00008:2,S00094:2,S00020:2,S00004:2,S00056:2,S00033:1"
J00009,Controller,Finance,Associate,"S00097:2,S00004:2,S00002:2,S00076:2,S00016:3"
J00010,Junior Customer Service Representative,Retail Banking,Entry,"S00024:2,S00086:2,S00049:2,S00081:1"
J00011,Junior Marketing Specialist,Marketing,Entry,"S00090:2,S00043:2,S00087:3,S00048:3"
J00012,Banking Operations,Retail Banking,Associate,"S00072:2,S00055:2,S00023:2,S00066:3"
J00013,Junior Executive Specialist,Executive,Entry,"S00087:2,S00056:2,S00016:2,S00032:2"
J00014,Senior Treasurer,Finance,Mid-level,"S00042:3,S00043:3,S00083:3,S00077:2,S00040:2,S00057:3"
J00015,Senior Loan Officer,Retail Banking,Mid-level,"S00099:3,S00097:3,S00070:3,S00094:2,S00039:3"
J00016,DevOps Engineer,Technology,Associate,"S00030:2,S00094:2,S00020:2,S00062:2,S00084:3,S00056:2,S00039:2"
J00017,Finance Manager,Finance,Associate,"S00055:2,S00004:2,S00025:2,S00028:3,S00091:2"
J00018,Senior Personal Banker,Retail Banking,Mid-level,"S00071:3,S00042:3,S00023:3,S00039:2,S00015:2"
J00019,Junior Software Engineer,Technology,Entry,"S00052:2,S00059:2,S00020:2,S00011:3,S00041:2,S00034:1"
J00020,Teller,Retail Banking,Associate,"S00072:2,S00087:2,S00011:2,S00078:2"
J00021,Junior Financial Analyst,Finance,Entry,"S00035:2,S00039:2,S00041:1,S00040:2"
J00022,Junior Operations Analyst,Operations,Entry,"S00091:2,S00039:2,S00050:2,S00031:3"
J00023,Junior Tax Specialist,Finance,Entry,"S00042:2,S00004:2,S00005:3,S00040:2"
J00024,Accountant,Finance,Associate,"S00035:2,S00039:2,S00040:2,S00049:3,S00030:1"
J00025,Junior Analytics Analyst,Analytics,Entry,"S00042:2,S00056:2,S00023:3,S00100:3"
J00026,Junior DevOps Engineer,Technology,Entry,"S00037:2,S00027:2,S00020:2,S00039:1,S00043:2,S00080:2"
J00027,Principal Analytics Analyst,Analytics,Senior,"S00042:3,S00056:3,S00010:3,S00084:3,S00016:2,S00090:4,S00078:2"
J00028,Senior System Administrator,Technology,Mid-level,"S00038:3,S00094:3,S00020:3,S00039:4,S00070:3,S00076:3,S00043:3,S00056:3"
J00029,HR Analyst,HR,Associate,"S00097:2,S00056:2,S00002:2,S00053:2,S00059:3"
J00030,Junior Operations Specialist,Operations,Entry,"S00097:2,S00056:2,S00008:1,S00083:3"
J00031,Principal Account Manager,Retail Banking,Senior,"S00099:3,S00001:3,S00023:3,S00039:4,S00080:3,S00053:4"
J00032,Marketing Analyst,Marketing,Associate,"S00090:2,S00004:2,S00055:2,S00070:3,S00050:3"
J00033,Infrastructure Engineer,Technology,Associate,"S00052:2,S00059:2,S00020:2,S00062:2,S00086:3,S00044:3,S00034:3"
J00034,Principal Risk Associate,Risk,Senior,"S00042:3,S00004:3,S00098:3,S00090:4,S00014:3,S00036:3,S00050:3"
J00035,Senior Marketing Analyst,Marketing,Mid-level,"S00041:3,S00039:3,S00050:2,S00007:2,S00081:4,S00038:4"
J00036,Junior Auditor,Finance,Entry,"S00087:2,S00004:2,S00050:3,S00011:2"
J00037,Principal Customer Service Representative,Retail Banking,Senior,"S00022:3,S00035:3,S00070:3,S00040:3,S00043:4,S00074:2"
J00038,Junior Treasurer,Finance,Entry,"S00097:2,S00056:2,S00085:2,S00061:1"
J00039,Senior Personal Banker H,Retail Banking,Mid-level,"S00072:3,S00041:3,S00011:3,S00092:2,S00004:2"
J00040,Junior Teller,Retail Banking,Entry,"S00072:2,S00055:2,S00049:2,S00014:1"
J00041,Senior Operations Analyst S,Operations,Mid-level,"S00097:3,S00039:3,S00040:2,S00069:3,S00067:2,S00070:2"
J00042,Junior Controller,Finance,Entry,"S00097:2,S00004:2,S00030:2,S00040:2"
J00043,Junior Treasurer S,Finance,Entry,"S00042:2,S00056:2,S00072:3,S00050:3"
J00044,Senior Data Engineer,Technology,Mid-level,"S00010:3,S00080:3,S00020:3,S00041:4,S00004:4,S00028:2,S00076:4,S00039:3"
J00045,Senior Treasurer H,Finance,Mid-level,"S00097:3,S00039:3,S00040:3,S00049:3,S00058:3,S00050:3"
J00046,Controller F,Finance,Associate,"S00042:2,S00056:2,S00098:3,S00070:3,S00040:3"
J00047,Banking Advisor,Retail Banking,Associate,"S00098:2,S00090:2,S00049:2,S00078:1"
J00048,Junior QA Engineer D,Technology,Entry,"S00038:2,S00059:2,S00020:2,S00050:3,S00004:2,S00006:2"
J00049,Legal Associate,Legal,Associate,"S00055:2,S00039:2,S00070:3,S00085:2,S00040:3"
J00050,Marketing Analyst P,Marketing,Associate,"S00015:2,S00004:2,S00040:2,S00092:3,S00055:3"
J00051,Risk Associate,Risk,Associate,"S00035:2,S00056:2,S00070:3,S00021:3,S00050:2"
J00052,Operations Specialist L,Operations,Associate,"S00015:2,S00043:2,S00097:2,S00028:2,S00070:2"
J00053,Senior Loan Officer U,Retail Banking,Mid-level,"S00022:3,S00001:3,S00049:3,S00040:3,S00035:3"
J00054,Junior DevOps Engineer K,Technology,Entry,"S00069:2,S00048:2,S00020:2,S00039:3,S00040:3,S00013:1"
J00055,Junior Treasurer Z,Finance,Entry,"S00041:2,S00043:2,S00023:2,S00050:2"
J00056,Analytics Associate Lead,Analytics,Lead,"S00015:4,S00056:4,S00089:3,S00005:4,S00040:4,S00041:4,S00011:5,S00048:4"
J00057,Analytics Analyst,Analytics,Associate,"S00087:2,S00004:2,S00049:3,S00023:2,S00066:3"
J00058,Principal Fraud Specialist,Retail Banking,Senior,"S00072:3,S00087:3,S00070:3,S00032:4,S00035:3,S00050:3"
J00059,Database Administrator Lead,Technology,Lead,"S00037:4,S00080:4,S00020:4,S00056:3,S00043:5,S00009:3,S00019:4,S00039:4,S00087:4,S00074:3,S00082:3"
J00060,Principal Legal Analyst,Legal,Senior,"S00091:3,S00043:3,S00024:3,S00040:4,S00077:3,S00078:3,S00062:4"
J00061,Solutions Architect,Technology,Associate,"S00061:2,S00094:2,S00020:2,S00100:3,S00004:2,S00043:2,S00009:2"
J00062,HR Associate,HR,Associate,"S00001:2,S00004:2,S00035:2,S00034:2,S00098:2"
J00063,Banking Operations T,Retail Banking,Associate,"S00024:2,S00001:2,S00023:2,S00040:3"
J00064,Senior Analytics Analyst,Analytics,Mid-level,"S00087:3,S00056:3,S00068:3,S00046:3,S00049:3,S00092:3"
J00065,Junior Operations Analyst Q,Operations,Entry,"S00097:2,S00043:2,S00023:2,S00002:1"
J00066,Controller Manager,Finance,Manager,"S00041:4,S00039:4,S00054:4,S00070:5,S00040:4,S00050:3,S00049:4,S00030:3"
J00067,Teller K,Retail Banking,Associate,"S00065:2,S00091:2,S00070:2,S00004:2"
J00068,Senior Marketing Specialist,Marketing,Mid-level,"S00041:3,S00056:3,S00050:3,S00031:3,S00040:3,S00023:4"
J00069,Senior Treasurer L,Finance,Mid-level,"S00097:3,S00039:3,S00040:2,S00015:3,S00023:4,S00051:3"
J00070,Junior Solutions Architect,Technology,Entry,"S00038:2,S00094:2,S00020:2,S00039:2,S00049:2,S00004:2"
J00071,Senior HR Specialist,HR,Mid-level,"S00042:3,S00056:3,S00007:2,S00022:3,S00070:3,S00002:3"
J00072,Principal Marketing Associate,Marketing,Senior,"S00097:3,S00039:3,S00083:3,S00040:3,S00093:2,S00050:4,S00086:4"
J00073,Operations Analyst,Operations,Associate,"S00055:2,S00043:2,S00045:3,S00002:3,S00022:2"
J00074,Risk Associate V,Risk,Associate,"S00086:2,S00043:2,S00098:3,S00015:2,S00100:2"
J00075,Senior Treasurer J,Finance,Mid-level,"S00097:3,S00056:3,S00040:2,S00074:3,S00059:3,S00054:2"
J00076,Marketing Specialist,Marketing,Associate,"S00055:2,S00056:2,S00040:3,S00024:2,S00086:2"
J00077,Junior Network Engineer Y,Technology,Entry,"S00061:2,S00048:2,S00020:2,S00025:2,S00074:2"
J00078,Junior Operations Analyst T,Operations,Entry,"S00042:2,S00056:2,S00040:2,S00019:2"
J00079,Operations Associate,Operations,Associate,"S00087:2,S00056:2,S00099:2,S00055:3,S00040:3"
J00080,Software Engineer,Technology,Associate,"S00062:2,S00080:2,S00020:2,S00005:3,S00004:3,S00056:3,S00010:3"
J00081,Junior Loan Officer,Retail Banking,Entry,"S00099:2,S00055:2,S00011:2,S00008:2"
J00082,HR Analyst H,HR,Associate,"S00086:2,S00004:2,S00047:1,S00049:3,S00040:2"
J00083,Customer Service Representative,Retail Banking,Associate,"S00065:2,S00087:2,S00070:2,S00001:3"
J00084,Junior Risk Specialist,Risk,Entry,"S00042:2,S00039:2,S00050:1,S00047:2"
J00085,Junior Financial Analyst H,Finance,Entry,"S00086:2,S00056:2,S00011:3,S00068:2"
J00086,Account Manager,Retail Banking,Associate,"S00071:2,S00035:2,S00049:2,S00003:3"
J00087,Operations Specialist S,Operations,Associate,"S00086:2,S00039:2,S00049:2,S00087:2,S00070:3"
J00088,Risk Specialist Lead,Risk,Lead,"S00097:4,S00056:4,S00053:4,S00022:3,S00049:3,S00077:3,S00050:5,S00070:3"
J00089,Operations Specialist C,Operations,Associate,"S00087:2,S00004:2,S00046:2,S00040:2,S00075:2"
J00090,Junior Risk Associate,Risk,Entry,"S00087:2,S00043:2,S00023:2,S00049:2"
J00091,Junior Network Engineer N,Technology,Entry,"S00096:2,S00080:2,S00020:2,S00034:3,S00037:3,S00040:3"
J00092,Banking Advisor Lead,Retail Banking,Lead,"S00098:4,S00015:4,S00070:4,S00025:4,S00004:3,S00043:4,S00017:4"
J00093,Senior HR Analyst,HR,Mid-level,"S00087:3,S00004:3,S00083:4,S00085:4,S00011:3,S00037:3"
J00094,Junior Cloud Engineer,Technology,Entry,"S00062:2,S00048:2,S00020:2,S00100:3,S00028:1,S00043:2"
J00095,Junior Banking Operations,Retail Banking,Entry,"S00022:2,S00091:2,S00023:2,S00037:2"
J00096,Senior Operations Specialist,Operations,Mid-level,"S00091:3,S00039:3,S00043:3,S00047:4,S00023:3,S00062:2"
J00097,Junior Controller W,Finance,Entry,"S00087:2,S00039:2,S00041:2,S00019:1"
J00098,Senior Legal Specialist,Legal,Mid-level,"S00087:3,S00039:3,S00010:3,S00092:3,S00049:4,S00040:3"
J00099,Operations Associate H,Operations,Associate,"S00015:2,S00039:2,S00040:3,S00049:3,S00072:3"
J00100,Junior QA Engineer E,Technology,Entry,"S00061:2,S00027:2,S00020:2,S00056:3,S00060:2,S00096:2"
J00101,Senior System Administrator K,Technology,Mid-level,"S00062:3,S00027:3,S00020:3,S00079:3,S00097:3,S00059:4,S00019:3,S00039:2"
J00102,Junior Banking Advisor,Retail Banking,Entry,"S00071:2,S00055:2,S00049:2,S00066:1"
J00103,Junior Fraud Specialist,Retail Banking,Entry,"S00072:2,S00035:2,S00049:2,S00087:1"
J00104,Senior HR Associate,HR,Mid-level,"S00035:3,S00039:3,S00050:4,S00002:4,S00011:2,S00040:3"
J00105,Junior Operations Associate,Operations,Entry,"S00086:2,S00004:2,S00070:2,S00073:1"
J00106,Operations Associate M,Operations,Associate,"S00042:2,S00056:2,S00011:2,S00052:2,S00083:2"
J00107,Banking Advisor K,Retail Banking,Associate,"S00077:2,S00086:2,S00023:2,S00004:2"
J00108,Database Administrator,Technology,Associate,"S00007:2,S00059:2,S00020:2,S00013:2,S00069:2,S00043:2"
J00109,Junior Financial Planner,Finance,Entry,"S00087:2,S00043:2,S00006:1,S00059:2"
J00110,DevOps Engineer G,Technology,Associate,"S00061:2,S00059:2,S00020:2,S00044:2,S00030:3,S00074:2,S00043:3"
J00111,Principal Operations Analyst,Operations,Senior,"S00001:3,S00056:3,S00023:3,S00022:3,S00088:3,S00100:4,S00040:3"
J00112,Junior Treasurer R,Finance,Entry,"S00055:2,S00039:2,S00050:2,S00011:1"
J00113,Mortgage Specialist,Retail Banking,Associate,"S00099:2,S00090:2,S00070:2,S00040:2"
J00114,Banking Operations K,Retail Banking,Associate,"S00065:2,S00086:2,S00049:2,S00042:2"
J00115,Analytics Associate R,Analytics,Associate,"S00087:2,S00043:2,S00096:1,S00092:2,S00067:2"
J00116,Cloud Engineer,Technology,Associate,"S00084:2,S00027:2,S00020:2,S00039:3,S00063:2,S00050:2,S00019:2"
J00117,Operations Analyst K,Operations,Associate,"S00086:2,S00039:2,S00080:2,S00091:3,S00023:2"
J00118,Analytics Associate K,Analytics,Associate,"S00097:2,S00056:2,S00050:2,S00042:3,S00083:2"
J00119,Principal Legal Specialist,Legal,Senior,"S00042:3,S00043:3,S00050:4,S00073:3,S00054:3,S00096:3,S00049:4"
J00120,Junior Personal Banker,Retail Banking,Entry,"S00077:2,S00087:2,S00049:2,S00020:1"
J00121,Junior Fraud Specialist I,Retail Banking,Entry,"S00072:2,S00035:2,S00011:2,S00090:1"
J00122,Senior Teller,Retail Banking,Mid-level,"S00071:3,S00097:3,S00023:3,S00032:3,S00011:3"
J00123,Branch Manager,Retail Banking,Associate,"S00022:2,S00090:2,S00023:2,S00074:3"
J00124,Junior HR Analyst,HR,Entry,"S00087:2,S00039:2,S00058:2,S00011:2"
J00125,Junior HR Specialist,HR,Entry,"S00090:2,S00004:2,S00050:3,S00040:3"
J00126,Senior Banking Associate,Retail Banking,Mid-level,"S00099:3,S00035:3,S00049:3,S00016:2,S00005:4"
J00127,Principal Treasurer,Finance,Senior,"S00042:3,S00056:3,S00086:3,S00050:3,S00049:3,S00074:3,S00040:4"
J00128,Senior Risk Analyst,Risk,Mid-level,"S00091:3,S00039:3,S00050:4,S00042:2,S00023:4,S00033:4"
J00129,Junior Software Engineer I,Technology,Entry,"S00037:2,S00048:2,S00020:2,S00043:2,S00001:2,S00039:1"
J00130,Senior Risk Specialist,Risk,Mid-level,"S00087:3,S00043:3,S00050:3,S00093:2,S00065:3,S00040:3"
J00131,Executive Analyst,Executive,Associate,"S00091:2,S00043:2,S00080:3,S00088:3,S00040:3"
J00132,Senior Solutions Architect,Technology,Mid-level,"S00084:3,S00027:3,S00020:3,S00043:2,S00005:2,S00086:2,S00015:2,S00056:2"
J00133,Principal DevOps Engineer,Technology,Senior,"S00068:3,S00094:3,S00020:3,S00081:3,S00076:3,S00051:3,S00056:4,S00004:3,S00033:3,S00074:3"
J00134,HR Specialist,HR,Associate,"S00090:2,S00004:2,S00070:1,S00018:3,S00037:3"
J00135,Senior Risk Analyst O,Risk,Mid-level,"S00086:3,S00056:3,S00023:3,S00024:2,S00050:3,S00040:3"
J00136,Principal Relationship Manager,Retail Banking,Senior,"S00099:3,S00097:3,S00070:3,S00050:4,S00039:3,S00016:4"
J00137,Senior Operations Analyst T,Operations,Mid-level,"S00001:3,S00039:3,S00040:2,S00070:3,S00023:3,S00049:2"
