job_id,title,department,level,location,skills
R0001,Role 1,55000078 Research (Manager 1),Group 3,438 King St,"BGSCB1963DE7E198035:3,BGSD0AFA883C40835A6:3,BGS6CB1C0C4002A7004:3,BGS7D722A1742BD11A4:3"
R0002,Role 2,55000199 Customer Service (Manager 2),Group 7,227 King St,"BGS57BED764EE5B4879:3,BGS230B11BAAB98F084:3,BGS1A0DAA7A37987958:3,BGS4E6B5E7AC269DAD3:3,BGS4AAC391323D703D8:3"
R0003,Role 3,55000161 Risk (Manager 3),Group 2,306 King St,"BGSA7C4948E9CF56DBE:3,BGS95E546E448807C44:3,BGS9235C071B9F01CB6:3,BGS1D3C38B5D301E07A:3,BGS07DA2FB7A1F93EE7:3"
R0004,Role 4,55000017 Facilities (Manager 4),Group 5,333 Queen St,"BGSF0C37FA0CF6FF9B5:3,BGSE8B4E98A3A09371A:3,BGS5F0B9E9487104533:3,BGSD39206FCD04D9365:3"
R0005,Role 5,55000185 Communications (Manager 5),Group 3,277 Main St,"BGSCBE4ADF6BCAED8D3:3,BGS6FC416EEB8887322:3,BGSC41285555C5161E5:3,BGS34C2AA829744E80E:3,BGSD5B0F20FA1746065:3"
R0006,Role 6,55000163 Finance (Manager 6),Group 4,248 Queen St,"BGSF1A0D37296F5C1CD:3,BGS186EBF44EB977EA4:3,BGS01A9339CA8381E5B:3,BGS4C0205F59786FB38:3"
R0007,Role 7,55000164 Sales (Manager 7),Group 4,53 King St,"BGSDB151B22E2708049:3,BGS59631BB387A15692:3,BGS09F64E477DE6F729:3,BGSC497B2882F6DA7B3:3"
R0008,Role 8,55000081 Sales (Manager 8),Group 2,682 Main St,"BGS8B7132EE577DCEE4:3,BGS85C38FC5B202508E:3"
R0009,Role 9,55000089 Communications (Manager 9),Group 2,426 King St,"BGSD541183A9E67EFFF:3,BGSECD83CC734AB0397:3,BGS4AD7640013CF9AE2:3,BGSDA9CDC4128048937:3,BGS131977C2E0DA5C65:3"
R0010,Role 10,55000138 Legal (Manager 10),Group 3,507 Queen St,"BGS976D1FAE713E54C9:3,BGS4C7F123B34B1AC1D:3,BGSD919F1BEF51CF3F7:3,BGSCB586C6A12314C0B:3"
R0011,Role 11,55000108 Strategy (Manager 11),Group 5,60 Main St,"BGS49A706C4CA8B1378:3,BGS6241E4FC6CB2DD84:3,BGSCAAEB0B43BF27CC9:3,BGS7EEDCE0E32DEE1B5:3,BGS150F98FCEC8DAC29:3"
R0012,Role 12,55000159 Risk (Manager 12),Group 5,459 High St,"BGS9077C772D38B1A6F:3,BGSB78D698586A04B58:3,BGS1BC67E662B38A1E7:3,BGSC001776F8089BEC2:3"
R0013,Role 13,55000123 Facilities (Manager 13),Group 2,569 King St,"BGS49440D89993449E5:3,BGS6E3C4E3F79F82A97:3,BGS457BF83414A41214:3,BGS4470F0D9862F48A5:3,BGS7F79021B899DA985:3"
R0014,Role 14,55000024 Finance (Manager 14),Group 6,513 High St,"BGSCC9047847B8970D9:3,BGS420DD20B4D9DC144:3,BGSD35D1D9D596AF085:3"
