job_code,skill_id,proficiency_level
101,S001,5
101,S008,4
101,S012,4
101,S013,4
101,S018,3
102,S003,4
102,S004,4
102,S005,3
102,S014,4
102,S020,5
103,S001,5
103,S002,5
103,S006,4
103,S015,4
104,S004,3
104,S007,5
104,S013,3
104,S017,4
105,S004,5
105,S005,4
105,S010,4
106,S004,4
106,S011,4
106,S016,5
106,S019,3
107,S002,4
107,S006,3
107,S009,5
108,S004,3
108,S010,5
109,S001,4
109,S012,5
109,S018,5
110,S002,4
110,S003,3
110,S004,4
110,S014,3
111,S004,4
111,S010,4
111,S019,5
112,S004,4
112,S011,3
112,S016,5
113,S001,4
113,S008,4
113,S013,4
114,S003,5
114,S004,4
114,S005,3
114,S014,5 
