timestamp,relative_time,process_usage_mb,total_allocated_mb,peak_allocated_mb,system_available_mb,gc_objects,reference_point
2025-05-16 11:36:53.324030,0.000,82.41,0.00,0.00,2566.64,76608,Start
2025-05-16 11:36:53.839341,0.515,82.46,0.00,0.00,2569.79,76607,Begin data loading
2025-05-16 11:36:54.351006,1.027,88.65,0.00,0.00,2538.32,76614,
2025-05-16 11:36:54.863852,1.540,94.75,0.00,0.00,2527.04,76615,
2025-05-16 11:36:55.376957,2.053,102.50,0.00,0.00,2518.82,76611,
2025-05-16 11:36:55.899218,2.575,112.51,0.00,0.00,2533.75,76612,
2025-05-16 11:36:56.412569,3.089,122.51,0.00,0.00,2533.50,76613,
2025-05-16 11:36:56.927194,3.603,132.52,0.00,0.00,2526.97,76614,
2025-05-16 11:36:57.444818,4.121,142.52,0.00,0.00,2518.87,76615,
2025-05-16 11:36:57.960570,4.637,152.52,0.00,0.00,2525.73,76616,
2025-05-16 11:36:59.288161,5.964,235.85,0.00,0.00,2446.17,87046,
2025-05-16 11:36:59.804857,6.481,245.59,0.00,0.00,2437.92,87047,
2025-05-16 11:37:00.327226,7.003,256.30,0.00,0.00,2435.23,87048,
2025-05-16 11:37:00.848560,7.525,266.30,0.00,0.00,2425.01,87049,
2025-05-16 11:37:01.366797,8.043,276.31,0.00,0.00,2393.76,87050,
2025-05-16 11:37:01.879004,8.555,286.32,0.00,0.00,2381.01,87051,
2025-05-16 11:37:02.393565,9.070,296.32,0.00,0.00,2381.63,87052,
2025-05-16 11:37:02.926930,9.603,306.32,0.00,0.00,2363.62,87053,
2025-05-16 11:37:03.449910,10.126,316.33,0.00,0.00,2345.59,87054,
2025-05-16 11:37:03.963887,10.640,326.34,0.00,0.00,2360.70,87055,Data loading complete
2025-05-16 11:37:05.135074,11.811,536.13,0.00,0.00,2161.25,106557,Begin vectorization
2025-05-16 11:37:05.651291,12.327,438.43,0.00,0.00,2262.64,106432,
2025-05-16 11:37:06.166312,12.842,442.91,0.00,0.00,2242.89,106433,
2025-05-16 11:37:06.682590,13.359,446.75,0.00,0.00,2257.17,106434,
2025-05-16 11:37:07.196521,13.872,449.89,0.00,0.00,2252.93,106435,
2025-05-16 11:37:07.711422,14.387,453.72,0.00,0.00,2251.07,106436,
2025-05-16 11:37:08.230872,14.907,457.55,0.00,0.00,2279.35,106437,
2025-05-16 11:37:08.777118,15.453,460.71,0.00,0.00,2274.09,106438,
2025-05-16 11:37:09.300327,15.976,465.36,0.00,0.00,2270.62,106439,
2025-05-16 11:37:09.830076,16.506,468.50,0.00,0.00,2266.95,106440,
2025-05-16 11:37:11.268925,17.945,529.05,0.00,0.00,2115.45,117190,
2025-05-16 11:37:11.790890,18.467,532.45,0.00,0.00,2123.86,117191,
2025-05-16 11:37:12.310616,18.987,537.59,0.00,0.00,2114.76,117192,
2025-05-16 11:37:12.822676,19.499,540.74,0.00,0.00,2116.37,117193,
2025-05-16 11:37:13.338162,20.014,544.56,0.00,0.00,2114.32,117194,
2025-05-16 11:37:13.866528,20.542,548.38,0.00,0.00,2104.32,117195,
2025-05-16 11:37:14.388037,21.064,551.52,0.00,0.00,2092.47,117196,
2025-05-16 11:37:14.909736,21.586,555.03,0.00,0.00,2119.26,117197,
2025-05-16 11:37:15.421962,22.098,558.49,0.00,0.00,2122.27,117198,
2025-05-16 11:37:15.931249,22.607,561.62,0.00,0.00,2133.89,117199,
2025-05-16 11:37:17.182769,23.859,423.21,0.00,0.00,2348.36,88273,
2025-05-16 11:37:17.692701,24.369,426.88,0.00,0.00,2350.46,88274,
2025-05-16 11:37:18.210422,24.886,430.94,0.00,0.00,2355.44,88275,
2025-05-16 11:37:18.727038,25.403,434.07,0.00,0.00,2332.37,88276,
2025-05-16 11:37:19.247696,25.924,437.89,0.00,0.00,2325.73,88277,
2025-05-16 11:37:19.779032,26.455,441.79,0.00,0.00,2290.19,88278,
2025-05-16 11:37:20.301566,26.978,445.68,0.00,0.00,2312.67,88279,
2025-05-16 11:37:20.814348,27.490,449.49,0.00,0.00,2304.54,88280,
2025-05-16 11:37:21.331060,28.007,452.63,0.00,0.00,2283.65,88281,
2025-05-16 11:37:21.840291,28.516,456.45,0.00,0.00,2293.78,88282,
